,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
power,0.1,100,0.237,0.227,0.167,0.174,0.157,0.667,0.641821946,0.425,0.453,0.431,0.422,0.427,0.727,,0.231,0.245,0.165,0.183,0.396,0.656964657
pct_trt_diff,0.1,100,0.03803,0.00683,0.00765,0.00315,0.01291,0.01225,0.01302,0.03965,0.00677,0.00807,0.0029,0.01286,0.01273,,0.04118,0.00686,0.00778,0.003,0.01293,0.01279
res_end_prop_avg,0.1,100,,,,,0.11196,0.11082,0.11144,,,,,0.11178,0.11104,,,,,,0.11216,0.11082
ssqr_over_sum,0.1,100,,,,,,0.798352404,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.1,100,,,,,,0.001354429,,,,,,,,,,,,,,
match_corr,0.1,100,,,,,,0.700119451,,,,,,,,,,,,,,
corr_eq_zero_pval,0.1,100,,,,,,2.74E-05,,,,,,,,,,,,,,
pct_only_matches,0.1,100,,,,,,0.033,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.2,100,0.82202116,0.790293607,0.370972675,0.385309662,0.38755333,0.387258881,0.398263563,0.817498406,0.845278876,0.402232664,0.375462463,0.39403468,0.383078261,,0.783903386,0.826785428,0.778423853,0.833320579,0.380164804,0.374565693
avg_max_ks_stat,0.2,100,0.166625826,0.164616832,0.12077591,0.120461737,0.121925991,0.120744507,0.122009807,0.165516414,0.166298337,0.122029159,0.119826058,0.121965749,0.120349865,,0.164576883,0.165085324,0.165381619,0.167081879,0.121847401,0.121121793
avg_beta_T,0.2,100,0.96064346,0.970912614,1.003636515,1.021540184,1.009208497,1.029917444,,1.002268864,1.018673841,0.993382109,0.983899073,1.00765472,1.00066815,,,,,,,
avg_abs_bias,0.2,100,0.652953799,0.62778505,0.465120272,0.473217013,0.425097728,0.359452355,,0.445004898,0.465007367,0.401189732,0.412322936,0.377062958,0.341347143,,,,,,,
std_err_beta_T,0.2,100,0.806808141,0.782161013,0.574506272,0.598200805,0.535978822,0.452589092,,0.559314128,0.58553587,0.499374065,0.519450314,0.467493212,0.435746975,,,,,,,
power,0.2,100,0.237,0.227,0.167,0.174,0.152,0.63,0.579881657,0.425,0.453,0.431,0.422,0.419,0.668,,0.231,0.245,0.165,0.183,0.463,0.58692422
