,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
pct_trt_diff,0.075,100,0.03798,0.00632,0.0085,0.00296,0.0154,0.01429,0.01492,0.03892,0.00686,0.00779,0.00317,0.01476,0.01485,0.01441,0.04091,0.00666,0.00823,0.0032,0.0146,0.01444
res_end_prop_avg,0.075,100,,,,,0.14158,0.14192,0.1427,,,,,0.14174,0.14252,0.14128,,,,,0.13966,0.14128
ssqr_over_sum,0.075,100,,,,,,0.330583208,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,100,,,,,,0.490965483,,,,,,,,,,,,,,
match_corr,0.075,100,,,,,,0.000215144,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,100,,,,,,0.500343423,,,,,,,,,,,,,,
pct_only_matches,0.075,100,,,,,,0.004,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,100,0.793036049,0.785536559,0.400753824,0.375953219,0.410220526,0.433649141,0.431189813,0.768846019,0.786505662,0.41699708,0.37499336,0.422357117,0.429404626,0.416159119,0.80824479,0.799191763,0.778442704,0.792217705,0.427428939,0.432926224
avg_max_ks_stat,0.1,100,0.164555059,0.164454451,0.119646279,0.118732805,0.116324595,0.116511854,0.116512354,0.162941409,0.163067825,0.120601692,0.119054022,0.115662657,0.115787976,0.116738089,0.164743762,0.160428241,0.163371329,0.162930823,0.115067578,0.117846968
avg_beta_T,0.1,100,0.990464954,0.986895539,0.992716044,0.998224533,0.978560657,1.017821601,,1.007481916,0.990940033,0.986837579,0.996928169,0.992707713,1.000249012,0.998974101,,,,,,
avg_abs_bias,0.1,100,0.267868797,0.285834261,0.26905036,0.281292454,0.271250511,0.285662488,,0.282838332,0.278853225,0.284102975,0.279333889,0.272024014,0.297660428,0.297187076,,,,,,
std_err_beta_T,0.1,100,0.336815989,0.358150522,0.338866739,0.351313868,0.340230451,0.359545909,,0.353360732,0.349229614,0.353687922,0.351615908,0.339443582,0.395885756,0.374430112,,,,,,
power,0.1,100,0.812,0.799,0.818,0.801,0.803,0.826,0.796907216,0.808,0.807,0.799,0.794,0.819,0.794,0.753,0.795,0.81,0.827,0.788,0.829,0.75257732
pct_trt_diff,0.1,100,0.03798,0.00632,0.0085,0.00296,0.01297,0.01276,0.01269,0.03892,0.00686,0.00779,0.00317,0.0133,0.01302,0.01298,0.04091,0.00666,0.00823,0.0032,0.01275,0.01276
res_end_prop_avg,0.1,100,,,,,0.11102,0.11158,0.11084,,,,,0.11226,0.11076,0.11186,,,,,0.11106,0.11152
ssqr_over_sum,0.1,100,,,,,,0.327437732,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.1,100,,,,,,0.491798326,,,,,,,,,,,,,,
match_corr,0.1,100,,,,,,0.009915833,,,,,,,,,,,,,,
corr_eq_zero_pval,0.1,100,,,,,,0.481677094,,,,,,,,,,,,,,
pct_only_matches,0.1,100,,,,,,0.025,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.2,100,0.793036049,0.785536559,0.400753824,0.375953219,0.397420655,0.383400917,0.393707912,0.768846019,0.786505662,0.41699708,0.37499336,0.380713529,0.371509738,0.394904953,0.80824479,0.799191763,0.778442704,0.792217705,0.38822601,0.392220475
avg_max_ks_stat,0.2,100,0.164555059,0.164454451,0.119646279,0.118732805,0.122972139,0.122109291,0.122079532,0.162941409,0.163067825,0.120601692,0.119054022,0.121111783,0.120927259,0.122236463,0.164743762,0.160428241,0.163371329,0.162930823,0.121725222,0.120079044
avg_beta_T,0.2,100,0.990464954,0.986895539,0.992716044,0.998224533,0.984327763,1.000613258,,1.007481916,0.990940033,0.986837579,0.996928169,1.003014116,0.997636778,1.002049392,,,,,,
avg_abs_bias,0.2,100,0.267868797,0.285834261,0.26905036,0.281292454,0.274301365,0.287326214,,0.282838332,0.278853225,0.284102975,0.279333889,0.265940354,0.291980482,0.285375537,,,,,,
std_err_beta_T,0.2,100,0.336815989,0.358150522,0.338866739,0.351313868,0.343263653,0.359687355,,0.353360732,0.349229614,0.353687922,0.351615908,0.331743988,0.367037076,0.364004364,,,,,,
power,0.2,100,0.812,0.799,0.818,0.801,0.798,0.816,0.765051395,0.808,0.807,0.799,0.794,0.828,0.76,0.797,0.795,0.81,0.827,0.788,0.836,0.778106509
pct_trt_diff,0.2,100,0.03798,0.00632,0.0085,0.00296,0.00896,0.00922,0.009,0.03892,0.00686,0.00779,0.00317,0.00929,0.009,0.00899,0.04091,0.00666,0.00823,0.0032,0.00918,0.00888
res_end_prop_avg,0.2,100,,,,,0.05938,0.0582,0.05856,,,,,0.05872,0.05962,0.05948,,,,,0.05924,0.05918
ssqr_over_sum,0.2,100,,,,,,0.294926488,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,100,,,,,,0.526845154,,,,,,,,,,,,,,
match_corr,0.2,100,,,,,,0.004735118,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,100,,,,,,0.490791392,,,,,,,,,,,,,,
pct_only_matches,0.2,100,,,,,,0.35,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,200,0.829551736,0.813637038,0.386099298,0.365587116,0.430378531,0.418895647,0.41762242,0.763400206,0.791870683,0.368101032,0.386188141,0.431960181,0.421883545,0.425875479,0.768236493,0.795248907,0.799069876,0.78964667,0.406047882,0.418431767
avg_max_ks_stat,0.05,200,0.120134076,0.119330926,0.086582611,0.085862605,0.078436913,0.077461791,0.076885036,0.116516537,0.118653408,0.08624523,0.086475142,0.077950748,0.077488749,0.076667565,0.117474985,0.118485199,0.117778594,0.118782681,0.077729841,0.077765533
avg_beta_T,0.05,200,1.000696439,0.972868117,0.99349216,0.99496959,0.994119024,1.002245197,,1.019531216,0.99476333,1.007664506,1.001850783,1.000491968,0.98356816,0.990409293,,,,,,
