,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_abs_bias,0.2,50,0.800370484,0.771572532,0.650172588,0.628691885,0.590321779,0.534113154,,0.613214719,0.606549995,0.545086511,0.545710587,0.530893039,0.511815395,0.494390713,,,,,,
std_err_beta_T,0.2,50,1.010163114,0.977736128,0.801714027,0.78464578,0.742241319,0.682086494,,0.782364018,0.759417699,0.681848292,0.682976013,0.664795573,0.673997467,0.628761658,,,,,,
power,0.2,50,0.162,0.168,0.121,0.126,0.109,0.409,0.319444444,0.249,0.265,0.252,0.253,0.219,0.374,0.338,0.179,0.192,0.124,0.119,0.28,0.341256367
pct_trt_diff,0.2,50,0.0553,0.01402,0.01634,0.00582,0.0166,0.0171,0.01732,0.05732,0.01358,0.0155,0.00592,0.01636,0.01684,0.01656,0.05458,0.01284,0.016,0.00574,0.01772,0.01654
res_end_prop_avg,0.2,50,,,,,0.10368,0.10524,0.10492,,,,,0.10404,0.10336,0.10484,,,,,0.10352,0.10324
ssqr_over_sum,0.2,50,,,,,,0.666313017,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,50,,,,,,0.09404693,,,,,,,,,,,,,,
match_corr,0.2,50,,,,,,0.550856183,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,50,,,,,,0.027021165,,,,,,,,,,,,,,
pct_only_matches,0.2,50,,,,,,0.397,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,100,0.824572585,0.769674461,0.39699317,0.379236853,0.488314562,0.507996643,0.493175327,0.821424209,0.824844438,0.407644479,0.3788312,0.499788681,0.496678117,0.507884764,0.803686603,0.779622269,0.771227646,0.809797406,0.492068553,0.483776674
avg_max_ks_stat,0.05,100,0.168529446,0.159724144,0.1214205,0.119311429,0.116882476,0.117412673,0.115251836,0.166504996,0.167870773,0.121074837,0.120132654,0.116532808,0.115735852,0.116286346,0.165286385,0.164767722,0.163803778,0.163949002,0.115685968,0.115986363
avg_beta_T,0.05,100,1.027957364,1.003516007,1.017304065,1.010777353,1.006715849,0.998758057,,1.003956295,1.003004446,0.989938215,0.979960953,0.990114087,1.007335873,1.007521687,,,,,,
avg_abs_bias,0.05,100,0.565481368,0.560844934,0.441167932,0.435660096,0.425432729,0.320413258,,0.425879954,0.424747278,0.377506921,0.404078653,0.367589833,0.319010904,0.325925381,,,,,,
std_err_beta_T,0.05,100,0.707588001,0.705940911,0.545137393,0.546031875,0.528956817,0.401208809,,0.534024403,0.530035113,0.478915093,0.506852029,0.464440299,0.39843881,0.41066972,,,,,,
power,0.05,100,0.305,0.306,0.26,0.262,0.259,0.736,0.705705706,0.456,0.468,0.459,0.456,0.443,0.724,0.68,0.282,0.3,0.255,0.256,0.464,0.676676677
pct_trt_diff,0.05,100,0.03972,0.00681,0.00793,0.00307,0.01712,0.0171,0.01725,0.03942,0.00648,0.00774,0.0029,0.01697,0.01711,0.01695,0.04029,0.00638,0.00782,0.00328,0.01706,0.01789
res_end_prop_avg,0.05,100,,,,,0.19498,0.19164,0.1934,,,,,0.19228,0.19216,0.1945,,,,,0.1916,0.19354
ssqr_over_sum,0.05,100,,,,,,0.744305048,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,100,,,,,,0.001731843,,,,,,,,,,,,,,
match_corr,0.05,100,,,,,,0.626669352,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,100,,,,,,0.000979483,,,,,,,,,,,,,,
pct_only_matches,0.05,100,,,,,,0,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,100,0.824572585,0.769674461,0.39699317,0.379236853,0.47479297,0.463832701,0.441208424,0.821424209,0.824844438,0.407644479,0.3788312,0.459210728,0.466947956,0.461037943,0.803686603,0.779622269,0.771227646,0.809797406,0.446273119,0.446622327
avg_max_ks_stat,0.075,100,0.168529446,0.159724144,0.1214205,0.119311429,0.117648543,0.116737975,0.1145727,0.166504996,0.167870773,0.121074837,0.120132654,0.114345841,0.116332232,0.116889725,0.165286385,0.164767722,0.163803778,0.163949002,0.116193002,0.114236322
avg_beta_T,0.075,100,1.027957364,1.003516007,1.017304065,1.010777353,0.998511376,0.973231851,,1.003956295,1.003004446,0.989938215,0.979960953,0.995650153,1.001372772,1.001464581,,,,,,
avg_abs_bias,0.075,100,0.565481368,0.560844934,0.441167932,0.435660096,0.420613223,0.320624142,,0.425879954,0.424747278,0.377506921,0.404078653,0.370565358,0.324291433,0.322421505,,,,,,
std_err_beta_T,0.075,100,0.707588001,0.705940911,0.545137393,0.546031875,0.527796349,0.401798565,,0.534024403,0.530035113,0.478915093,0.506852029,0.466619969,0.409283489,0.396698191,,,,,,
power,0.075,100,0.305,0.306,0.26,0.262,0.258,0.681,0.710976838,0.456,0.468,0.459,0.456,0.434,0.724,0.678,0.282,0.3,0.255,0.256,0.486,0.712273642
