"","alpha","n","van_bau","efron_bau","strat_bau","ps_min_bau","pm_bau","pm_kk","pm_kk_pbs","van_linear","efron_lin","strat_lin","ps_min_lin","pm_lin","pm_lin_kk","pm_lin_kk_pbs","van_exact","efron_exact","strat_exact","ps_min_exact","pm_exact","pm_kk_exact"
"pct_trt_diff",0.075,100,0.04015,0.00705000000000001,0.00757000000000001,0.00284,0.01443,0.01419,0.01502,0.04013,0.00632000000000001,0.00785000000000001,0.00324,0.01496,0.01452,0.01507,0.04072,0.00658000000000001,0.00769000000000001,0.00315,0.01467,0.01427
"res_end_prop_avg",0.075,100,NA,NA,NA,NA,0.14136,0.13924,0.1421,NA,NA,NA,NA,0.1417,0.14074,0.14074,NA,NA,NA,NA,0.14046,0.14118
"ssqr_over_sum",0.075,100,NA,NA,NA,NA,NA,0.80606100646507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ssqr_eq_ssqd_pval",0.075,100,NA,NA,NA,NA,NA,0.000784716127750392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"match_corr",0.075,100,NA,NA,NA,NA,NA,0.711384966908228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"corr_eq_zero_pval",0.075,100,NA,NA,NA,NA,NA,2.71384700582103e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pct_only_matches",0.075,100,NA,NA,NA,NA,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_max_std_diff_bal",0.1,100,0.828002239743813,0.829150700363351,0.399807178442674,0.37492109223556,0.429591035873247,0.426705112063603,0.421809342018584,0.81006232502379,0.812228954620552,0.400787508940252,0.397264081362034,0.437173471767388,0.417242476002872,0.428203686792315,0.824303783174277,0.800574146471467,0.798646985368377,0.816748395675943,0.410103605023161,0.436326517362072
"avg_max_ks_stat",0.1,100,0.166615171605342,0.168447872750209,0.120534464051161,0.118235371456275,0.116001504341552,0.115312415448393,0.116043311508302,0.16592959714403,0.164573227864605,0.121196666945993,0.119331992104534,0.116642376335164,0.114607997116638,0.115552985405432,0.166262289880492,0.164346824074447,0.164471271322382,0.16428021339305,0.11523370672459,0.115836031340036
"avg_beta_T",0.1,100,0.0431839137898002,0.00882712504356193,0.00085915552152429,-0.0112806701052297,-0.000164106768451598,0.000729401062699334,NA,-0.0259046848148556,0.0198894085193085,0.000513043387166349,0.00366169218203436,-0.000204671651378399,0.00522873757781756,-0.0115795388592912,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.1,100,0.624951178777047,0.6259450149466,0.455069647120083,0.477795671436735,0.442320724215663,0.320232784990244,NA,0.428788588901196,0.46159502735354,0.395859017885571,0.418162329388163,0.377765659153086,0.315596232077908,0.349171571580055,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.1,100,0.789971875529316,0.799277070233936,0.574344735957579,0.608261858544063,0.549477075429807,0.403875183216065,NA,0.548981705263293,0.573319807038098,0.502640967611407,0.527952819510386,0.474628431257548,0.398955424590431,0.42981754368714,NA,NA,NA,NA,NA,NA
"power",0.1,100,0.053,0.054,0.009,0.013,0.006,0.049,0.0571131879543094,0.047,0.05,0.036,0.026,0.018,0.059,0.664,0.055,0.046,0.001,0.008,0.043,0.0435233160621762
